Price in Dollars,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
23878.8,Center console boat,Sting power boats,New boat from stock,2020,5.3,2.15,GRP,Switzerland,118
23760,Sport Boat,Scand power boats,"Used boat,Unleaded",1989,8.5,3,GRP,Switzerland,537
23760,Pontoon Boat,Airon Marine power boats,"Used boat,Unleaded",1992,7.63,2.5,GRP,Switzerland,176
23760,Bowrider,Cranchi power boats,Used boat,1993,7.6,2.47,GRP,Switzerland,415
23760,Cabin Boat,Saga power boats,"Used boat,Diesel",1978,8.12,2.75,GRP,Switzerland,593
23760,Hardtop,Finnmaster power boats,"Used boat,Unleaded",2001,6.01,2.3,GRP,Switzerland,527
23760,Sport Boat,Draco power boats,"Used boat,Unleaded",1993,6.77,2.28,GRP,Switzerland,265
23760,Pilothouse,Sessa power boats,"Used boat,Unleaded",2006,6.5,2.43,GRP,Switzerland,466
24177.5,Pilothouse,Jeanneau power boats,"New boat on order,Unleaded",2020,5.64,2.45,GRP,Germany,73
24840,Pilothouse,Atlantic Marine power boats,New boat from stock,2019,6.6,2.47,GRP,Switzerland,394
24840,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7,2.43,GRP,Switzerland,863
24840,Sport Boat,Galia power boats,"Used boat,Unleaded",2020,4.75,1.9,GRP,Switzerland,235
24732,Sport Boat,Capelli power boats,"Used boat,Unleaded",2016,5.01,2.28,Hypalon,Switzerland,135
24732,Sport Boat,Rio Iberica power boats,"Used boat,Unleaded",2004,5.5,2.05,GRP,Switzerland,457
23831.7,Sport Boat,Yamarin power boats,New boat from stock,2019,5.67,2.25,GRP,Germany,135
23730,Sport Boat,Intermare power boats,"Used boat,Diesel",1991,6.45,2.4,GRP,Italy,49
23730,Bowrider,Cobalt power boats,"Used boat,Unleaded",1996,6.35,2.54,GRP,Italy,97
23730,Cabin Boat,Monterey power boats,"Used boat,Unleaded",1997,8,2.59,GRP,Italy,241
23730,Sport Boat,Azimut power boats,"Used boat,Diesel",1989,9.23,3.18,PVC,France,190
23730,Cabin Boat,Kelt power boats,Used boat,1992,8.8,2.98,GRP,Netherland,146
24860,Water ski,Correct Craft power boats,"Used boat,Unleaded",2007,6,2.33,GRP,Germany,141
24860,Flybridge,Riva power boats,"Used boat,Diesel",1978,10.45,3.43,GRP,Italy,352
24860,Motor Yacht,Cytra power boats,"Used boat,Diesel",1979,9.5,3.2,GRP,Germany,190
24860,Center console boat,Crownline power boats,"Used boat,Unleaded",1996,7.5,2.59,GRP,Italy,111
24860,Sport Boat,Ilver power boats,"Used boat,Unleaded",1989,7,2.48,GRP,Italy,100
24860,Motor Yacht,Tullio Abbate power boats,Unleaded,1991,10.8,2.5,GRP,Germany,373
25854.4,Sport Boat,Quicksilver (Brunswick Marine) power boats,"New boat on order,Unleaded",2020,5.47,2.29,GRP,Germany,86
25820.5,Deck Boat,Ranieri International power boats,"New boat from stock,Unleaded",2020,5.65,2.2,GRP,Germany,140
25764,Deck Boat,Yamarin power boats,New boat from stock,2020,5.28,2.09,Aluminium,Germany,114
25732.4,Pontoon Boat,Sunchaser power boats,"New boat from stock,Unleaded",2018,5.18,2.29,Aluminium,Portugal,87
25724.4,Pilothouse,Jeanneau power boats,New boat on order,2020,5.79,2.46,GRP,Germany,49
25651,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2003,7.15,2.51,PVC,France,110
25628.4,Motor Yacht,Master power boats,New boat on order,2020,5.42,2.32,GRP,France,142
26460,Offshore Boat,Baja power boats,"Used boat,Unleaded",1988,7.28,2.54,GRP,Switzerland,422
26460,Classic,Chris Craft power boats,"Used boat,Unleaded",1976,9.3,3.4,GRP,Switzerland,417
26460,"Cabin Boat,Sport Boat,Wakeboard/Wakesurf",Galeon power boats,"Used boat,Unleaded",2015,6.19,2.48,GRP,Switzerland,867
25447.6,Deck Boat,Yamarin power boats,New boat from stock,2020,6.25,2.3,GRP,Germany,107
26713.2,Bowrider,Nordkapp power boats,New boat from stock,2017,6.06,2.2,GRP,Germany,109
27540,Sport Boat,Regal power boats,"Used boat,Unleaded",2001,5.78,2.5,GRP,Switzerland,483
26588.9,Sport Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2020,4.54,1.85,GRP,Germany,84
26555,Trawler,Cascaruda power boats,Diesel,1982,9.3,3,Steel,Germany,164
27000,Pilothouse,Nidelv power boats,"Used boat,Diesel",1988,8.66,3.04,GRP,Switzerland,507
27000,Sport Boat,Windy power boats,"Used boat,Unleaded",1997,7.85,2.54,GRP,Switzerland,771
27000,Sport Boat,Wellcraft power boats,Used boat,1992,8.35,2.5,GRP,Switzerland,420
27000,Classic,Schneiter power boats,Used boat,1965,6,1.9,Wood,Switzerland,284
27000,Fishing Boat,The Captains power boats,New boat on order,2020,6.6,1.85,GRP,Switzerland,888
