Price in Dollars,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
89100,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2012,6.78,2.54,Plastic,Switzerland,599
89100,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1974,5.8,2.12,Wood,Switzerland,315
85880,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2004,9.3,2.89,GRP,Croatia,47
85880,Fishing Boat,Starfisher power boats,"Used boat,Diesel",2007,7.85,3,GRP,Spain,57
85880,Motor Yacht,Bavaria power boats,"Used boat,Diesel",2004,11.77,3.99,GRP,Italy,97
85880,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2018,7.99,2.8,PVC,France,54
85767,Motor Yacht,Succes power boats,"Used boat,Diesel",2018,9,3.05,GRP,Germany,116
85654,Deck Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2019,8.1,2.5,PVC,France,59
88385,Bowrider,Chaparral power boats,"New boat on order,Unleaded",2021,6.4,2.54,GRP,Switzerland,303
85515,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2019,8.1,2.5,GRP,Austria,70
85484.5,Sport Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2019,6.28,2.46,GRP,Germany,107
85254,Pilothouse,Jeanneau power boats,"New boat on order,Unleaded",2020,8.9,2.99,GRP,Germany,54
90773.8,Pilothouse,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.92,2.77,PVC,United Kingdom,37
85211,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2019,7.99,2.78,PVC,Spain,56
85089,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7,2,PVC,Spain,34
84750,Motor Yacht,Cranchi power boats,"Used boat,Diesel",1999,10.8,3.84,GRP,France,69
84750,Flybridge,Carnevali power boats,"Used boat,Diesel",2000,11,3,GRP,Croatia,135
84750,Motor Yacht,Pedro power boats,"Used boat,Diesel",1995,10.3,3.5,Steel,Germany,70
84750,Cabin Boat,Cranchi power boats,"Used boat,Unleaded",1999,10.35,2.49,GRP,Italy,142
84750,Motor Yacht,Schaefer power boats,"Used boat,Diesel",2006,10.35,3.4,GRP,Spain,82
84750,Motor Yacht,Princess power boats,"Used boat,Diesel",1996,12.4,3.73,GRP,Italy,90
84750,Flybridge,Valk power boats,Used boat,1979,14.6,4.1,Steel,Netherland,82
84750,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",2011,8.7,3.02,Wood,France,96
84750,Center console boat,Sessa power boats,Used boat,2009,8.93,2.99,GRP,Italy,111
84750,Pontoon Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",2017,8.88,2.99,GRP,Italy,100
84750,Flybridge,Jeanneau power boats,"Used boat,Diesel",2006,9.76,3.16,PVC,Spain,54
84750,Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2003,11.25,3.54,GRP,Greece,100
84750,Pilothouse,Rhea power boats,"Used boat,Diesel",2006,9.3,3.3,PVC,France,81
84750,Sport Boat,Regal power boats,"Used boat,Unleaded",2015,8.8,2.6,PVC,France,78
84750,Flybridge,Raffaelli power boats,"Used boat,Diesel",1991,14.2,4.3,GRP,Italy,122
84750,Center console boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.19,2.52,PVC,France,31
84750,Sport Boat,Bertram Yacht power boats,"Used boat,Diesel",1995,9.32,3.44,GRP,Italy,73
84750,"Cabin Boat,Motor Yacht",Holland Boat power boats,"Used boat,Diesel",1989,11.4,3.7,GRP,Belgium,277
84750,Sport Boat,Jeanneau power boats,"Used boat,Unleaded",2018,7.84,2.55,GRP,Germany,256
84750,Pilothouse,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.43,2.81,PVC,France,61
84750,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2016,7.74,2.95,PVC,France,62
84750,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2001,12.39,3.7,GRP,Italy,93
84747.7,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"New boat on order,Unleaded",2020,7.88,2.55,GRP,Germany,45
84738.7,Pilothouse,Parker power boats,"Display Model,Unleaded",2020,7.99,2.54,GRP,Germany,169
84738.7,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2013,8.9,2.99,PVC,France,75
84637,Sport Boat,Tullio Abbate power boats,"Used boat,Unleaded",1988,12.3,2.65,GRP,Switzerland,333
84637,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.1,2.5,PVC,France,40
84637,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2015,8.81,2.96,PVC,France,53
84637,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2014,8.81,2.96,PVC,France,62
84637,Sport Boat,Quicksilver (Brunswick Marine) power boats,"Display Model,Unleaded",2019,6.99,2.55,GRP,Germany,162
84637,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.23,2.79,PVC,France,39
84637,Fishing Boat,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2015,8.91,2.93,GRP,Spain,163
84637,Sport Boat,Bayliner power boats,Used boat,2004,9.65,3.35,GRP,Netherland,114
84637,Trawler,Pedro power boats,Used boat,2001,10.6,3.5,Steel,Netherland,98
84524,Sport Boat,Rinker power boats,"Used boat,Unleaded",2012,8.8,2.75,GRP,Germany,249
84411,Deck Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.1,2.5,PVC,France,48
84275.4,Motor Yacht,Balt Yacht power boats,New boat from stock,2020,8.48,2.75,GRP,Germany,188
84185,Motor Yacht,Balt Yacht power boats,"New boat from stockk,Diesel",2020,9.8,2.98,GRP,Germany,203
84185,Hardtop,Jeanneau power boats,"Used boat,Diesel",2000,11,3,GRP,Croatia,106
84185,Trawler,Pedro power boats,"Used boat,Diesel",2003,10.6,3.5,Steel,Netherland,168
84185,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2006,9.47,2.9,GRP,Slovenia,144
84185,Deck Boat,Sessa power boats,"Used boat,Unleaded",2006,9.01,2.99,GRP,Germany,89
84185,Motor Yacht,Neptunus power boats,"Used boat,Diesel",1991,13.8,4.4,GRP,Germany,213
84185,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2019,8.23,2.79,PVC,France,69
84185,Trawler,Super Lauwersmeer power boats,Used boat,1975,11.2,3.45,Steel,Netherland,143
83620,Center console boat,Jeanneau power boats,"Used boat,Unleaded",2016,8.37,2.98,PVC,France,68
83620,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1971,5.8,2.1,Wood,Switzerland,114
83620,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2011,8.95,2.95,GRP,Croatia,120
83620,Motor Yacht,Fairline power boats,"Used boat,Diesel",1994,11.74,3.79,GRP,Austria,155
83608.7,Cabin Boat,Saver power boats,"New boat from stock,Unleaded",2020,8.3,2.55,GRP,Germany,140
86292,Sport Boat,Colombo power boats,"Used boat,Unleaded",2004,10.8,3,GRP,Switzerland,326
86292,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1986,5.9,2.18,Wood,Switzerland,462
82350,Trawler,AMS Marine Yachten power boats,"Used boat,Diesel",1976,12.2,4.25,GRP,Denmark,530
85320,Sport Boat,Faeton power boats,"Used boat,Diesel",2002,7.8,2.8,GRP,Switzerland,218
85320,Classic,Boesch power boats,"Used boat,Unleaded",1984,5.9,2.12,Wood,Switzerland,917
85860,Sport Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2018,6.91,2.48,GRP,Switzerland,238
83055,Sport Boat,Fairline power boats,Used boat,2001,9.1,3.05,PVC,Portugal,136
88374,Sport Boat,Jeanneau power boats,New boat from stock,2020,7.34,2.44,PVC,United Kingdom,46
85320,Classic,Boesch power boats,"Used boat,Unleaded",1980,5.9,2.12,Wood,Switzerland,228
82490,Flybridge,Sealine power boats,"Used boat,Diesel",1996,10,3,GRP,Croatia,99
82490,Pilothouse,Rodman power boats,Used boat,2006,8.7,2.98,GRP,Spain,59
82490,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2019,9,2.95,PVC,France,57
82490,Wakeboard/Wakesurf,Heyday power boats,"Used boat,Unleaded",2018,7.16,2.44,PVC,France,129
82490,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2016,8.36,2.95,PVC,France,70
82490,Sport Boat,Four Winns power boats,"Used boat,Unleaded",2018,6.88,2.59,PVC,France,59
82490,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,11.63,3.7,GRP,Italy,122
82490,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,11.63,3.7,GRP,Italy,73
82490,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2004,11.63,3.7,GRP,Italy,129
81925,Trawler,Linssen power boats,Used boat,1989,11,3.45,Steel,Netherland,161
81925,Classic,Rapsody power boats,Used boat,2001,8.74,2.45,Wood,Netherland,140
81586,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7.12,2.79,PVC,Spain,93
84240,Trawler,Z-Yacht power boats,"Used boat,Diesel",1988,11,3.4,Steel,Switzerland,251
84240,Motor Yacht,Riva power boats,"Used boat,Unleaded",1967,5.7,2.2,Wood,Switzerland,875
81416.5,Pilothouse,Galia power boats,"New boat from stock,Unleaded",2018,6.82,2.51,GRP,Switzerland,280
81360,Flybridge,Bayliner power boats,"Used boat,Diesel",1993,11,3.85,GRP,Germany,151
81360,Fishing Boat,Jeanneau power boats,"Used boat,Diesel",2007,9.76,3.16,PVC,France,131
81360,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2014,9.3,2.59,GRP,Italy,193
81360,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2019,7.13,2.5,PVC,France,26
81360,Wakeboard/Wakesurf,Heyday power boats,"New boat from stock,Unleaded",2019,6.24,2.44,PVC,France,67
81360,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2008,9.96,3.38,GRP,Italy,82
81360,Motor Yacht,Sessa power boats,"Used boat,Diesel",2006,10.6,3.53,GRP,Spain,116
81360,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2003,10.98,3.49,GRP,Germany,110
81360,Flybridge,Bayliner power boats,"Used boat,Diesel",1994,11,3.7,GRP,Germany,199
81360,Classic,Chris Craft power boats,"Used boat,Diesel",1973,10.3,3.9,GRP,France,143
81360,Sport Boat,Crownline power boats,"Used boat,Unleaded",2014,7.99,2.5,GRP,Germany,269
81247,Cabin Boat,Flipper power boats,"New boat on order,Unleaded",2020,6.74,2.46,GRP,Spain,65
81247,Pilothouse,Jeanneau power boats,"New boat from stock,Unleaded",2020,6.71,2.54,PVC,France,42
81247,Bowrider,Sea Ray power boats,"New boat on order,Unleaded",2021,7.15,2.54,GRP,Germany,168
81170.2,Center console boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.37,2.52,PVC,France,71
82944,Cabin Boat,DarekCo power boats,"New boat from stock,Unleaded",2020,7.98,2.54,GRP,Switzerland,143
80795,Classic,Apreamare power boats,"Used boat,Diesel",1999,10.09,3.3,GRP,Spain,168
80795,Pilothouse,Faeton power boats,"Used boat,Diesel",2012,8.5,2.98,PVC,Spain,100
82479.6,Sport Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2019,6.95,2.48,GRP,Switzerland,191
82339.2,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2020,7.88,2.55,GRP,Switzerland,299
79665,Sport Boat,Parker power boats,"Used boat,Unleaded",2016,7.5,2.5,PVC,Belgium,54
82080,Runabout,Ganz Boats power boats,"Display Model,Unleaded",2018,6.8,2.35,GRP,Switzerland,226
81897.5,Sport Boat,Regal power boats,"New boat from stock,Unleaded",2021,6.2,2.6,GRP,Switzerland,254
79100,Flybridge,Bertram Yacht power boats,"Used boat,Unleaded",1985,9.99,3.81,GRP,France,19
79100,Sport Boat,Regal power boats,"Used boat,Unleaded",2010,9.75,3.2,GRP,Italy,95
79100,Motor Yacht,Gobbi power boats,"Used boat,Diesel",2001,11.45,3.8,GRP,Italy,176
79100,"Classic,Sport Boat",Riva power boats,"Used boat,Unleaded",1970,6.55,2.33,Wood,Austria,88
79100,Flybridge,Azimut power boats,"Used boat,Diesel",1991,11.44,3.96,GRP,Italy,70
79100,Flybridge,Ferretti power boats,"Used boat,Diesel",1990,10.85,3.93,GRP,Italy,34
79100,Sport Boat,Bavaria power boats,"Used boat,Unleaded",2010,8.5,2.99,GRP,Italy,223
79100,Motor Yacht,Azimut power boats,"Used boat,Diesel",1986,11.3,3.96,GRP,Italy,143
79100,Motor Yacht,Sealine power boats,"Used boat,Diesel",2003,10.36,3.35,GRP,Greece,105
79100,Pontoon Boat,Tornado power boats,"Used boat,Diesel",2001,11.5,3.85,GRP,Italy,74
79100,Trawler,Linssen power boats,"Used boat,Diesel",1997,10.1,3.45,Steel,France,110
79100,Flybridge,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2005,10.8,3.48,PVC,France,81
79100,Hardtop,Sealine power boats,"Used boat,Diesel",2009,9.36,3.2,PVC,France,56
79100,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2018,6,2,PVC,France,46
79100,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2007,11.95,4.3,GRP,Croatia,144
79100,Center console boat,Riva power boats,"Used boat,Diesel",1992,11.68,3.88,GRP,Italy,71
79100,Sport Boat,Rinker power boats,"Used boat,Unleaded",2008,8.79,2.59,GRP,Croatia,48
79100,Motor Yacht,Master power boats,Used boat,2017,7.7,3.1,GRP,France,96
79098.9,Pilothouse,Parker power boats,"New boat from stock,Unleaded",2018,7.9,2.9,GRP,Germany,81
79098.9,Pilothouse,Parker power boats,"New boat from stock,Unleaded",2019,6.6,2.5,GRP,Germany,67
79094.3,Cabin Boat,Stickl power boats,"New boat from stock,Electric",2020,6.6,2.1,GRP,Germany,111
79088.7,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.23,2.79,GRP,Germany,79
79088.7,Trawler,Succes power boats,"Used boat,Diesel",2000,9.2,3.2,Steel,Germany,154
79043.5,Motor Yacht,D-Boat power boats,"Display Model,Unleaded",2018,6,2.3,GRP,Germany,117
79043.5,Motor Yacht,Super van Craft power boats,Used boat,1973,12.65,3.65,Steel,Netherland,143
79043.5,Cabin Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.23,2.79,GRP,Germany,81
78987,Motor Yacht,Sealine power boats,"Used boat,Diesel",1999,10.5,3.34,GRP,Croatia,160
78987,Pilothouse,Sting power boats,"New boat from stock,Unleaded",2018,6.02,2.52,GRP,Germany,192
78987,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2017,7.99,2.8,PVC,France,58
78987,Cabin Boat,Nordkapp power boats,"New boat on order,Unleaded",2019,7.1,2.57,GRP,Germany,262
78987,Motor Yacht,Cranchi power boats,"Used boat,Diesel",1997,10.35,3.49,GRP,Croatia,82
78987,Trawler,Valkkruiser power boats,Used boat,1984,11.6,3.75,Steel,Netherland,149
78987,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2016,7.74,2.95,PVC,France,48
78987,House Boat,Suncamper power boats,Used boat,2018,9.5,2.98,GRP,Germany,162
78987,Cabin Boat,Nordkapp power boats,"New boat on order,Unleaded",2019,7.1,2.57,GRP,Germany,152
78987,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2013,20.13,2.92,PVC,France,153
78987,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,New boat from stock,2018,9,2.78,PVC,Hungary,136
78987,Cabin Boat,Invictus power boats,"Used boat,Unleaded",2019,7.45,2.45,GRP,Italy,93
78987,Deck Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2019,8.1,2.5,PVC,France,20
78987,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2003,9.47,2.89,GRP,Germany,352
78987,Center console boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.19,2.52,PVC,France,58
78987,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2003,9.9,3.61,PVC,France,113
78987,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2003,9.9,3.61,PVC,France,120
78987,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2018,7.43,2.81,GRP,Croatia,139
78987,Motor Yacht,Proficiat power boats,"Used boat,Diesel",1997,10.1,3.2,Steel,Germany,174
81153.4,Sport Boat,Regal power boats,"New boat from stock,Unleaded",2021,6.2,2.6,GRP,Switzerland,237
78535,Motor Yacht,Giorgi power boats,Used boat,1989,13.88,4.2,GRP,Netherland,218
78535,Trawler,Koopmans power boats,Used boat,1970,12.5,3.7,Steel,Netherland,96
78535,Flybridge,Birchwood power boats,"Used boat,Diesel",1989,10.3,3.7,GRP,Germany,96
78535,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"New boat on order,Unleaded",2020,7.4,2.85,GRP,Germany,81
78535,Sport Boat,Riva power boats,"Used boat,Diesel",1995,10.3,2.55,PVC,Turkey,64
78535,Motor Yacht,Barkas power boats,Used boat,2004,10.3,3.65,Steel,Netherland,132
78535,Motor Yacht,Valkkruiser power boats,Used boat,1984,12,3.85,Steel,Netherland,167
83615.4,Pilothouse,Jeanneau power boats,New boat from stock,2020,2.41,0.86,PVC,United Kingdom,67
78489.8,Sport Boat,Yamarin power boats,New boat from stock,2020,8.02,2.6,GRP,Germany,213
78422,Hardtop,Agder power boats,"Used boat,Diesel",2000,8.4,3.2,GRP,Germany,217
81000,"Classic,Runabout",Swiss Craft power boats,"Used boat,Unleaded",1961,6.1,2.1,Wood,Switzerland,194
81000,"Classic,Motor Yacht,Water ski",Boesch power boats,"Used boat,Unleaded",1985,5.9,2.12,Wood,Switzerland,326
80892,"Classic,Runabout",Riva power boats,"Used boat,Unleaded",1965,6.07,2.2,Wood,Switzerland,350
77970,Motor Yacht,Sealine power boats,"Used boat,Diesel",1993,10.98,3.66,GRP,Croatia,195
77970,Motor Yacht,Formula power boats,"Used boat,Unleaded",1992,11.28,3.66,GRP,Germany,37
77970,Cabin Boat,Starfisher power boats,"Used boat,Unleaded",2012,9.13,2.99,GRP,Spain,88
77970,Sport Boat,Formula power boats,"Used boat,Unleaded",1992,10.26,3.66,GRP,Germany,74
77970,Flybridge,ST power boats,"Used boat,Diesel",2008,10,3.34,PVC,France,37
77970,"Classic,Motor Yacht",Spertini power boats,"Used boat,Diesel",1977,18,5.35,Wood,Spain,227
77970,Motor Yacht,Doral power boats,"Used boat,Unleaded",2001,10,3,GRP,Croatia,82
77970,Sport Boat,MAS power boats,"Used boat,Diesel",2004,8.43,2.66,GRP,Italy,85
77970,Pontoon Boat,Saver power boats,Used boat,2020,9,2.98,GRP,Italy,81
77970,Trawler,Yacht Service SP. z o.o. power boats,"Used boat,Diesel",2009,9,3,GRP,Germany,273
77970,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2007,9.01,2.99,GRP,Germany,186
77970,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2007,9.74,2.9,GRP,Spain,136
77970,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",2011,10.15,2.96,GRP,Italy,349
77970,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2014,8.25,2.94,PVC,Spain,85
77970,Flybridge,ST power boats,"Used boat,Diesel",2008,10,3.34,PVC,France,68
77970,Motor Yacht,Sealine power boats,Used boat,1996,11.3,3.7,GRP,Netherland,127
77970,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2006,9.95,3.42,PVC,France,78
77970,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",2005,9.1,3.48,GRP,Italy,329
77970,Sport Boat,Glastron power boats,"Used boat,Unleaded",2017,6.71,2.54,GRP,Germany,184
77970,Sport Boat,Formula power boats,"Used boat,Unleaded",1992,10.26,3.66,GRP,Netherland,113
77970,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2004,10.2,3.25,GRP,Netherland,142
77970,Flybridge,President power boats,"Used boat,Diesel",1991,16.07,4.5,PVC,France,231
82493.4,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1992,11.89,3.63,GRP,Hungary,76
77405,Motor Yacht,Inter power boats,"Display Model,Diesel",2010,7.7,2.7,GRP,Belgium,106
77405,Motor Yacht,Fairline power boats,"Used boat,Diesel",2000,9.14,3.04,Plastic,Belgium,324
77190.3,Bowrider,Sea Ray power boats,"New boat from stock,Unleaded",2019,6.55,2.54,GRP,Germany,99
76840,Center console boat,Sessa power boats,Used boat,2006,7.49,2.9,GRP,Italy,146
76840,Motor Yacht,Yaretti power boats,"Used boat,Diesel",1992,15,4,GRP,Croatia,136
76840,Motor Yacht,Crownline power boats,"Used boat,Unleaded",2008,9.9,2.95,GRP,Italy,150
76840,Flybridge,Posillipo power boats,"Used boat,Diesel",1976,12.4,4.29,GRP,Italy,124
76840,Flybridge,Cayman power boats,"Used boat,Diesel",2002,9.3,3.3,GRP,Croatia,69
76840,Motor Yacht,Cranchi power boats,"Used boat,Diesel",1995,10.92,3.8,GRP,Italy,41
76840,Flybridge,Galeon power boats,"Used boat,Diesel",2005,9.6,3,GRP,Italy,380
76840,Flybridge,Ferretti power boats,"Used boat,Diesel",1990,13.5,4.28,GRP,Italy,77
76840,Motor Yacht,Tristan power boats,"Used boat,Diesel",1995,9.2,3,GRP,Croatia,121
76840,Cabin Boat,Parker power boats,"Used boat,Diesel",2014,7.9,2.88,GRP,France,73
76840,Motor Yacht,Yaretti power boats,"Used boat,Diesel",1992,14.88,4.35,GRP,Croatia,153
76840,Motor Yacht,Innovazioni e Progetti power boats,Used boat,2000,11.24,3.54,GRP,Italy,238
76820.8,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.1,2,PVC,Spain,76
78732,Sport Boat,Silver power boats,"New boat from stock,Unleaded",2020,6.06,2.36,GRP,Switzerland,290
76727,Cabin Boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,6.71,2.54,GRP,Germany,161
76727,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7.09,2.5,PVC,France,124
76727,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2011,8.95,2.99,GRP,Croatia,170
75710,Wakeboard/Wakesurf,Heyday power boats,"New boat from stock,Unleaded",2019,6,2,PVC,France,98
75710,Center console boat,Jeanneau power boats,"Used boat,Unleaded",2018,7.42,2.54,PVC,France,105
75710,Center console boat,Jeanneau power boats,Used boat,2015,8.37,2.98,PVC,France,57
75710,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",2015,8.6,2.94,PVC,France,88
75698.7,Sport Boat,Saver power boats,"New boat from stock,Unleaded",2020,7.1,2.53,GRP,Germany,162
75698.7,Sport Boat,Regal power boats,"Used boat,Unleaded",2012,8.78,2.6,PVC,France,78
74700,Motor Yacht,Tristan power boats,Used boat,2000,9.6,3.1,GRP,Denmark,265
75597,Center console boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.42,2.54,PVC,France,29
75597,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7.48,2.5,PVC,France,23
75597,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1992,9.4,3.2,GRP,Germany,84
75597,Motor Yacht,Nimbus power boats,"Used boat,Diesel",1995,8.45,2.85,GRP,Austria,413
75484,Flybridge,Hiltergerke power boats,"Display Model,Unleaded",2015,8.4,2.5,GRP,Germany,120
75484,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,7.48,2.5,PVC,France,31
77760,Motor Yacht,Italcraft power boats,"Used boat,Diesel",1979,11.8,3.65,GRP,Switzerland,133
77760,Deck Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2020,7.23,2.55,GRP,Switzerland,381
77760,Hardtop,Bella power boats,"Used boat,Diesel",2007,8.17,2.6,GRP,Switzerland,173
77760,Sport Boat,Karnic power boats,"New boat from stock,Unleaded",2020,7.15,2.45,GRP,Switzerland,176
77760,Bowrider,MasterCraft power boats,"Used boat,Unleaded",2005,8.61,2.9,GRP,Switzerland,617
75246.7,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.2,2.53,Carbon Fiber,France,39
75145,Center console boat,Rhea power boats,New boat from stock,2019,6.9,2.5,GRP,Netherland,71
75145,Trawler,Wicabo power boats,"Used boat,Diesel",1993,11.2,3.45,Steel,Germany,167
75032,Motor Yacht,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",1999,10.8,3.44,GRP,Croatia,90
74919,Deck Boat,Sessa power boats,"New boat from stock,Unleaded",2020,8,2.43,GRP,Italy,133
74862.5,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"New boat on order,Unleaded",2020,7.88,2.55,GRP,Germany,109
79134,Flybridge,Aquastar power boats,"Used boat,Diesel",1985,11.58,3.84,PVC,United Kingdom,31
79134,Motor Yacht,Sunseeker power boats,"Used boat,Unleaded",1990,11.28,3.23,GRP,United Kingdom,63
74241,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,6.41,2.48,PVC,France,22
74015,Center console boat,BÃƒÂ©nÃƒÂ©teau power boats,"New boat from stock,Unleaded",2020,8.17,2.53,PVC,France,86
78540,"Passenger boat,Runabout,Sport Boat",Bruno Abbate power boats,"Used boat,Diesel",2010,12,2.5,GRP,United Kingdom,279
75600,Pilothouse,Haber power boats,"Used boat,Diesel",2016,7.6,2.5,GRP,Switzerland,401
73704.3,Center console boat,Jeanneau power boats,"New boat from stock,Unleaded",2020,7.37,3.52,PVC,France,30
76140,Bowrider,Sea Ray power boats,"New boat from stock,Unleaded",2020,6.55,2.59,GRP,Switzerland,308
73450,Pilothouse,Motomar power boats,"Used boat,Diesel",2008,9.3,3.2,GRP,Italy,49
73450,Flybridge,Gobbi power boats,"Used boat,Diesel",2000,9.7,3.7,GRP,Italy,75
73450,Pilothouse,Ala Blu power boats,"Used boat,Diesel",2001,10.25,3.1,GRP,Italy,50
73450,Center console boat,Pro-Line power boats,"Used boat,Unleaded",2005,8.94,2.95,GRP,Italy,35
73450,Pilothouse,Faeton power boats,"Used boat,Diesel",2005,8.75,3,GRP,Italy,37
73450,Flybridge,Nautica power boats,"Used boat,Diesel",2003,8.76,3.04,GRP,Croatia,35
73450,Flybridge,Intermare power boats,"Used boat,Diesel",2000,9.1,3,GRP,Italy,92
73450,Flybridge,Dellapasqua power boats,"Used boat,Diesel",1986,11.4,3.75,GRP,Italy,93
73450,Motor Yacht,Sealine power boats,"Used boat,Diesel",1996,10.9,3.56,GRP,Italy,58
73450,Motor Yacht,Mochi Craft power boats,"Used boat,Diesel",1992,14,4.45,GRP,Croatia,169
73450,Motor Yacht,Sealine power boats,"Used boat,Diesel",1994,11.3,3.68,GRP,Croatia,58
